path,name,suffix,size_bytes,size_mb
analysis/archive-2026-plus-canonical-gemini/combined_posts_index.csv,combined_posts_index.csv,.csv,30289996,28.887
analysis/archive-2026-plus-canonical-gemini/embedding_report/cluster_group_shares.csv,cluster_group_shares.csv,.csv,2967,0.003
analysis/archive-2026-plus-canonical-gemini/embedding_report/cluster_summary.csv,cluster_summary.csv,.csv,4025,0.004
analysis/archive-2026-plus-canonical-gemini/embedding_report/embedding_analysis_data.csv,embedding_analysis_data.csv,.csv,35507101,33.862
analysis/archive-2026-plus-canonical-gemini/embedding_report/group_embedding_summary.csv,group_embedding_summary.csv,.csv,244,0.0
analysis/archive-2026-plus-canonical-gemini/embedding_report/model_embedding_summary.csv,model_embedding_summary.csv,.csv,745,0.001
analysis/archive-2026-plus-canonical-gemini/embedding_report/run_embedding_summary.csv,run_embedding_summary.csv,.csv,68216,0.065
analysis/archive-2026-plus-canonical-gemini/embedding_report/umap_sample.csv,umap_sample.csv,.csv,13561151,12.933
analysis/archive-2026-plus-canonical-gemini/final_report/final_cluster_embedding_summary.csv,final_cluster_embedding_summary.csv,.csv,3945,0.004
analysis/archive-2026-plus-canonical-gemini/final_report/final_group_embedding_summary.csv,final_group_embedding_summary.csv,.csv,244,0.0
analysis/archive-2026-plus-canonical-gemini/final_report/final_model_embedding_summary.csv,final_model_embedding_summary.csv,.csv,735,0.001
analysis/archive-2026-plus-canonical-gemini/final_report/final_run_embedding_summary.csv,final_run_embedding_summary.csv,.csv,68068,0.065
analysis/archive-2026-plus-canonical-gemini/paper_analysis/embedding_delta_summary_by_condition.csv,embedding_delta_summary_by_condition.csv,.csv,1572,0.001
analysis/archive-2026-plus-canonical-gemini/paper_analysis/embedding_delta_summary_by_group.csv,embedding_delta_summary_by_group.csv,.csv,993,0.001
analysis/archive-2026-plus-canonical-gemini/paper_analysis/embedding_delta_summary_by_model.csv,embedding_delta_summary_by_model.csv,.csv,2517,0.002
analysis/archive-2026-plus-canonical-gemini/paper_analysis/embedding_mds_balanced_sample.csv,embedding_mds_balanced_sample.csv,.csv,1893754,1.806
analysis/archive-2026-plus-canonical-gemini/paper_analysis/embedding_q4_minus_q1_deltas.csv,embedding_q4_minus_q1_deltas.csv,.csv,41439,0.04
analysis/archive-2026-plus-canonical-gemini/paper_analysis/embedding_timebin_metrics.csv,embedding_timebin_metrics.csv,.csv,159336,0.152
