condition,feature_artifact,feature_call_to_action,feature_checklist,feature_falsifier,feature_has_bullets,feature_has_numbered_list,feature_if_then,feature_imperative_open,feature_ledger,feature_linebreak_rich,feature_owner,feature_proof_of_work,feature_question_open,feature_receipt,feature_report_back,feature_rollback,feature_rubric,scale,segment
mag0,0.04065040650406504,0.37669376693766937,0.02981029810298103,0.008130081300813009,0.0,0.0,0.016260162601626018,0.4281842818428184,0.0,0.0,0.05420054200542006,0.0,0.21951219512195122,0.005420054200542005,0.008130081300813009,0.0,0.024390243902439025,n10,overall
mag0,0.0547945205479452,0.3013698630136986,0.0410958904109589,0.0,0.0,0.0,0.0136986301369863,0.3424657534246575,0.0,0.0,0.0547945205479452,0.0,0.3013698630136986,0.0273972602739726,0.0136986301369863,0.0,0.0547945205479452,n10,window_0
mag0,0.0684931506849315,0.4246575342465753,0.0,0.0,0.0,0.0,0.0136986301369863,0.4520547945205479,0.0,0.0,0.0547945205479452,0.0,0.1643835616438356,0.0,0.0136986301369863,0.0,0.0410958904109589,n10,window_1
mag0,0.0547945205479452,0.3698630136986301,0.0547945205479452,0.0136986301369863,0.0,0.0,0.0547945205479452,0.4794520547945205,0.0,0.0,0.0547945205479452,0.0,0.2328767123287671,0.0,0.0,0.0,0.0,n10,window_2
mag0,0.0,0.3972602739726027,0.0547945205479452,0.0136986301369863,0.0,0.0,0.0,0.5205479452054794,0.0,0.0,0.0,0.0,0.1917808219178082,0.0,0.0,0.0,0.0136986301369863,n10,window_3
mag0,0.025974025974025976,0.38961038961038963,0.0,0.012987012987012988,0.0,0.0,0.0,0.35064935064935066,0.0,0.0,0.1038961038961039,0.0,0.2077922077922078,0.0,0.012987012987012988,0.0,0.012987012987012988,n10,window_4
mag0,0.05,0.1,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.05,n10,first_agent_posts
mag0,0.05,0.3,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.05,0.0,0.25,0.0,0.0,0.0,0.0,n10,last_agent_posts
mag0,0.021505376344086023,0.3978494623655914,0.010752688172043012,0.010752688172043012,0.0,0.0,0.0,0.3870967741935484,0.0,0.0,0.08602150537634409,0.0,0.1935483870967742,0.0,0.010752688172043012,0.0,0.021505376344086023,n10,late_window
mag1,0.09158415841584158,0.3712871287128713,0.022277227722772276,0.07920792079207921,0.0,0.0,0.04207920792079208,0.44554455445544555,0.022277227722772276,0.0,0.04455445544554455,0.0,0.14356435643564355,0.13861386138613863,0.0,0.30445544554455445,0.0,n10,overall
mag1,0.2125,0.4125,0.025,0.075,0.0,0.0,0.0375,0.4625,0.0,0.0,0.05,0.0,0.1625,0.0375,0.0,0.05,0.0,n10,window_0
mag1,0.125,0.375,0.025,0.0625,0.0,0.0,0.1,0.45,0.0875,0.0,0.0,0.0,0.075,0.1625,0.0,0.325,0.0,n10,window_1
mag1,0.1,0.3,0.0125,0.05,0.0,0.0,0.0375,0.45,0.0125,0.0,0.075,0.0,0.1375,0.0875,0.0,0.475,0.0,n10,window_2
mag1,0.0,0.375,0.0125,0.125,0.0,0.0,0.025,0.4375,0.0,0.0,0.025,0.0,0.1625,0.175,0.0,0.3625,0.0,n10,window_3
mag1,0.023809523809523808,0.39285714285714285,0.03571428571428571,0.08333333333333333,0.0,0.0,0.011904761904761904,0.42857142857142855,0.011904761904761904,0.0,0.07142857142857142,0.0,0.17857142857142858,0.2261904761904762,0.0,0.30952380952380953,0.0,n10,window_4
mag1,0.15,0.3,0.0,0.0,0.0,0.0,0.05,0.6,0.0,0.0,0.05,0.0,0.3,0.0,0.0,0.0,0.0,n10,first_agent_posts
mag1,0.05,0.4,0.05,0.05,0.0,0.0,0.0,0.5,0.0,0.0,0.15,0.0,0.15,0.1,0.0,0.4,0.0,n10,last_agent_posts
mag1,0.019801980198019802,0.39603960396039606,0.039603960396039604,0.0891089108910891,0.0,0.0,0.009900990099009901,0.46534653465346537,0.009900990099009901,0.0,0.0594059405940594,0.0,0.1782178217821782,0.2079207920792079,0.0,0.31683168316831684,0.0,n10,late_window
mag5,0.03900709219858156,0.7198581560283688,0.0425531914893617,0.0,0.0,0.0,0.04609929078014184,0.4574468085106383,0.0,0.0,0.0035460992907801418,0.0,0.0851063829787234,0.2765957446808511,0.02127659574468085,0.0,0.010638297872340425,n10,overall
mag5,0.05357142857142857,0.5535714285714286,0.14285714285714285,0.0,0.0,0.0,0.07142857142857142,0.44642857142857145,0.0,0.0,0.017857142857142856,0.0,0.125,0.017857142857142856,0.0,0.0,0.017857142857142856,n10,window_0
mag5,0.03571428571428571,0.6428571428571429,0.0,0.0,0.0,0.0,0.03571428571428571,0.39285714285714285,0.0,0.0,0.0,0.0,0.05357142857142857,0.26785714285714285,0.03571428571428571,0.0,0.017857142857142856,n10,window_1
mag5,0.05357142857142857,0.7142857142857143,0.03571428571428571,0.0,0.0,0.0,0.017857142857142856,0.2857142857142857,0.0,0.0,0.0,0.0,0.10714285714285714,0.26785714285714285,0.05357142857142857,0.0,0.017857142857142856,n10,window_2
mag5,0.017857142857142856,0.8214285714285714,0.017857142857142856,0.0,0.0,0.0,0.03571428571428571,0.5535714285714286,0.0,0.0,0.0,0.0,0.05357142857142857,0.44642857142857145,0.0,0.0,0.0,n10,window_3
mag5,0.034482758620689655,0.8620689655172413,0.017241379310344827,0.0,0.0,0.0,0.06896551724137931,0.603448275862069,0.0,0.0,0.0,0.0,0.08620689655172414,0.3793103448275862,0.017241379310344827,0.0,0.0,n10,window_4
mag5,0.1,0.55,0.25,0.0,0.0,0.0,0.05,0.5,0.0,0.0,0.05,0.0,0.15,0.05,0.0,0.0,0.0,n10,first_agent_posts
mag5,0.05,0.8,0.0,0.0,0.0,0.0,0.05,0.65,0.0,0.0,0.0,0.0,0.05,0.45,0.0,0.0,0.0,n10,last_agent_posts
mag5,0.028169014084507043,0.8732394366197183,0.014084507042253521,0.0,0.0,0.0,0.056338028169014086,0.5774647887323944,0.0,0.0,0.0,0.0,0.08450704225352113,0.36619718309859156,0.014084507042253521,0.0,0.0,n10,late_window
mag25,0.028901734104046242,0.6705202312138728,0.06069364161849711,0.5086705202312138,0.0,0.0,0.049132947976878616,0.43352601156069365,0.008670520231213872,0.0,0.017341040462427744,0.0,0.12716763005780346,0.031791907514450865,0.002890173410404624,0.0,0.0,n10,overall
mag25,0.043478260869565216,0.5942028985507246,0.08695652173913043,0.391304347826087,0.0,0.0,0.07246376811594203,0.463768115942029,0.0,0.0,0.028985507246376812,0.0,0.17391304347826086,0.0,0.0,0.0,0.0,n10,window_0
mag25,0.028985507246376812,0.7391304347826086,0.057971014492753624,0.6231884057971014,0.0,0.0,0.10144927536231885,0.43478260869565216,0.0,0.0,0.014492753623188406,0.0,0.14492753623188406,0.0,0.0,0.0,0.0,n10,window_1
mag25,0.043478260869565216,0.7246376811594203,0.057971014492753624,0.5217391304347826,0.0,0.0,0.057971014492753624,0.43478260869565216,0.014492753623188406,0.0,0.028985507246376812,0.0,0.13043478260869565,0.0,0.014492753623188406,0.0,0.0,n10,window_2
mag25,0.014492753623188406,0.6521739130434783,0.057971014492753624,0.5362318840579711,0.0,0.0,0.014492753623188406,0.43478260869565216,0.014492753623188406,0.0,0.014492753623188406,0.0,0.10144927536231885,0.07246376811594203,0.0,0.0,0.0,n10,window_3
mag25,0.014285714285714285,0.6428571428571429,0.04285714285714286,0.4714285714285714,0.0,0.0,0.0,0.4,0.014285714285714285,0.0,0.0,0.0,0.08571428571428572,0.08571428571428572,0.0,0.0,0.0,n10,window_4
mag25,0.05,0.5,0.1,0.2,0.0,0.0,0.1,0.35,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,n10,first_agent_posts
mag25,0.0,0.5,0.05,0.6,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.1,0.05,0.0,0.0,0.0,n10,last_agent_posts
mag25,0.022988505747126436,0.6436781609195402,0.05747126436781609,0.5172413793103449,0.0,0.0,0.0,0.40229885057471265,0.022988505747126436,0.0,0.0,0.0,0.10344827586206896,0.09195402298850575,0.0,0.0,0.0,n10,late_window
dom-agi,0.21551724137931033,0.5862068965517241,0.09482758620689655,0.0,0.0,0.0,0.03017241379310345,0.47844827586206895,0.48060344827586204,0.0,0.521551724137931,0.0,0.1206896551724138,0.4331896551724138,0.01293103448275862,0.4892241379310345,0.02586206896551724,n10,overall
dom-agi,0.34782608695652173,0.6195652173913043,0.15217391304347827,0.0,0.0,0.0,0.043478260869565216,0.4782608695652174,0.2608695652173913,0.0,0.20652173913043478,0.0,0.13043478260869565,0.29347826086956524,0.021739130434782608,0.5543478260869565,0.043478260869565216,n10,window_0
dom-agi,0.20652173913043478,0.5652173913043478,0.10869565217391304,0.0,0.0,0.0,0.03260869565217391,0.5108695652173914,0.42391304347826086,0.0,0.5434782608695652,0.0,0.08695652173913043,0.4782608695652174,0.0,0.41304347826086957,0.06521739130434782,n10,window_1
dom-agi,0.21739130434782608,0.6521739130434783,0.05434782608695652,0.0,0.0,0.0,0.03260869565217391,0.5,0.6195652173913043,0.0,0.5978260869565217,0.0,0.10869565217391304,0.4891304347826087,0.0,0.44565217391304346,0.010869565217391304,n10,window_2
dom-agi,0.22826086956521738,0.6086956521739131,0.11956521739130435,0.0,0.0,0.0,0.021739130434782608,0.4891304347826087,0.5869565217391305,0.0,0.717391304347826,0.0,0.10869565217391304,0.5217391304347826,0.010869565217391304,0.5978260869565217,0.010869565217391304,n10,window_3
dom-agi,0.08333333333333333,0.4895833333333333,0.041666666666666664,0.0,0.0,0.0,0.020833333333333332,0.4166666666666667,0.5104166666666666,0.0,0.5416666666666666,0.0,0.16666666666666666,0.3854166666666667,0.03125,0.4375,0.0,n10,window_4
dom-agi,0.15,0.5,0.05,0.0,0.0,0.0,0.1,0.4,0.1,0.0,0.0,0.0,0.25,0.0,0.05,0.25,0.05,n10,first_agent_posts
