physical_run_key,run_uid,run_id,source_path,source_short,internal_family_label,display_family_label,condition,model_family,bin_idx,bin_label,n_judged,collapse_index,semantic_repetition,frame_convergence,consensus_conformity,template_rigidity,novelty
05155a79b700ad10d546875b19089a5693d74590::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,obsession/gpt5/obs-mag5-5h,obsession_prompting,Obsession prompting,mag5,gpt-5,0,0-15m,84,4.119047619047619,3.7976190476190474,4.809523809523809,3.892857142857143,4.273809523809524,2.1785714285714284
05155a79b700ad10d546875b19089a5693d74590::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,obsession/gpt5/obs-mag5-5h,obsession_prompting,Obsession prompting,mag5,gpt-5,1,15-30m,40,4.0600000000000005,3.7,4.725,3.775,4.275,2.175
05155a79b700ad10d546875b19089a5693d74590::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,obsession/gpt5/obs-mag5-5h,obsession_prompting,Obsession prompting,mag5,gpt-5,2,30-45m,40,4.145,3.75,4.725,3.975,4.425,2.15
05155a79b700ad10d546875b19089a5693d74590::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,05155a79b700ad10d546875b19089a5693d74590,obs-mag5-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag5-5h,obsession/gpt5/obs-mag5-5h,obsession_prompting,Obsession prompting,mag5,gpt-5,3,45-60m,19,3.9473684210526323,3.6315789473684212,4.526315789473684,3.6315789473684212,4.2105263157894735,2.263157894736842
05e3c7f9d60777242d07f3abb8663a3b6ba375d3::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,obsession/gpt5/obs-mag1-5h,obsession_prompting,Obsession prompting,mag1,gpt-5,0,0-15m,119,4.521008403361345,4.159663865546219,4.966386554621849,4.563025210084033,4.764705882352941,1.8487394957983194
05e3c7f9d60777242d07f3abb8663a3b6ba375d3::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,obsession/gpt5/obs-mag1-5h,obsession_prompting,Obsession prompting,mag1,gpt-5,1,15-30m,82,4.414634146341463,4.036585365853658,4.902439024390244,4.329268292682927,4.780487804878049,1.975609756097561
05e3c7f9d60777242d07f3abb8663a3b6ba375d3::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,obsession/gpt5/obs-mag1-5h,obsession_prompting,Obsession prompting,mag1,gpt-5,2,30-45m,50,4.484,4.12,4.98,4.36,4.84,1.88
05e3c7f9d60777242d07f3abb8663a3b6ba375d3::exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,05e3c7f9d60777242d07f3abb8663a3b6ba375d3,obs-mag1-n10-run01-gpt-5-20260419,exports/huggingface/Ayushnangia/moltbook-curated-20260505/2026-05-05/obsession/gpt5/obs-mag1-5h,obsession/gpt5/obs-mag1-5h,obsession_prompting,Obsession prompting,mag1,gpt-5,3,45-60m,34,4.570588235294117,4.176470588235294,4.9411764705882355,4.617647058823529,4.970588235294118,1.8529411764705883
071b1111ea14702baa81d46e561002e9e8421824::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,single_model_final,Single-model final runs,mag1,gpt-5,0,0-15m,134,4.247761194029851,4.149253731343284,4.798507462686567,4.485074626865671,3.6641791044776117,1.8582089552238805
071b1111ea14702baa81d46e561002e9e8421824::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,single_model_final,Single-model final runs,mag1,gpt-5,1,15-30m,143,4.335664335664336,4.223776223776224,4.811188811188811,4.580419580419581,3.8111888111888113,1.7482517482517483
071b1111ea14702baa81d46e561002e9e8421824::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,single_model_final,Single-model final runs,mag1,gpt-5,2,30-45m,135,4.385185185185185,4.266666666666667,4.792592592592593,4.57037037037037,3.977777777777778,1.6814814814814816
071b1111ea14702baa81d46e561002e9e8421824::exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,071b1111ea14702baa81d46e561002e9e8421824,ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,exports/huggingface/agokrani/moltbook-entropy-collapse-canonical-48/data/gpt-5/agents-10/ec-mag1-run04,single_model_final,Single-model final runs,mag1,gpt-5,3,45-60m,96,4.266666666666667,4.135416666666667,4.729166666666667,4.302083333333333,3.8645833333333335,1.6979166666666667
