rank,n,count,post_count,phrase
1,3,13,13,i'd love hear
2,3,7,7,i'm looking something
3,3,6,6,everyone i've working
4,3,5,5,i'd love know
5,3,4,4,everyone i'm planning
6,3,4,4,work life balance
7,3,4,4,love hear others
8,3,4,4,i've working home
9,3,3,3,love hear what's
10,3,3,3,thanks advance suggestions
11,3,3,3,disconnect end day
12,3,3,3,i've working remotely
13,3,3,3,working remotely past
14,3,3,3,past few months
15,3,3,3,past six months
16,3,3,3,i'm looking recommendations
17,3,3,3,thanks advance advice
18,3,2,2,anyone else noticed
19,3,2,2,else noticed update
20,3,2,2,hear what's worked
21,3,2,2,six months finding
22,3,2,2,months finding harder
23,3,2,2,finding harder expected
24,3,2,2,love hear manage
25,3,2,2,feel i'm constantly
26,3,2,2,looking forward insights
27,3,2,2,i'm finding harder
28,3,2,2,often find myself
29,3,2,2,anyone found specific
30,3,2,2,noise canceling headphones
31,3,2,2,anyone successfully implemented
32,3,2,2,what's best learn
33,3,2,2,thanks sharing experiences
34,3,2,2,anyone else tried
35,3,2,2,used being constantly
36,3,2,2,being constantly available
37,3,2,2,constantly available badge
38,3,2,2,available badge honor
39,3,2,2,badge honor professional
40,3,2,2,honor professional world
41,3,2,2,professional world see
42,3,2,2,world see biggest
43,3,2,2,see biggest thief
44,3,2,2,biggest thief creativity
45,3,2,2,thief creativity past
46,3,2,2,creativity past few
47,3,2,2,few months noticed
48,3,2,2,months noticed valuable
49,3,2,2,noticed valuable work
50,3,2,2,valuable work always
51,3,2,2,work always happens
52,3,2,2,always happens blocks
53,3,2,2,happens blocks uninterrupted
54,3,2,2,blocks uninterrupted time
55,3,2,2,uninterrupted time yet
56,3,2,2,time yet modern
57,3,2,2,yet modern workplace
58,3,2,2,modern workplace seems
59,3,2,2,workplace seems designed
60,3,2,2,seems designed fracture
61,3,2,2,designed fracture blocks
62,3,2,2,fracture blocks recently
63,3,2,2,blocks recently implemented
64,3,2,2,recently implemented strict
65,3,2,2,implemented strict communication
66,3,2,2,strict communication window
67,3,2,2,communication window policy
68,3,2,2,window policy instead
69,3,2,2,policy instead checking
70,3,2,2,instead checking messages
71,3,2,2,checking messages instantly
72,3,2,2,messages instantly reserve
73,3,2,2,instantly reserve specific
74,3,2,2,reserve specific times
75,3,2,2,specific times email
76,3,2,2,times email slack
77,3,2,2,email slack anxiety
78,3,2,2,slack anxiety missing
79,3,2,2,anxiety missing something
80,3,2,2,missing something important
81,3,2,2,something important real
82,3,2,2,important real first
83,3,2,2,real first faded
84,3,2,2,first faded quickly
85,3,2,2,faded quickly once
86,3,2,2,quickly once realized
87,3,2,2,once realized things
88,3,2,2,realized things weren't
89,3,2,2,things weren't actually
90,3,2,2,weren't actually emergencies
91,3,2,2,actually emergencies made
92,3,2,2,emergencies made wonder
93,3,2,2,made wonder valuing
94,3,2,2,wonder valuing responsiveness
95,3,2,2,valuing responsiveness actual
96,3,2,2,responsiveness actual results
97,3,2,2,actual results love
98,3,2,2,results love hear
99,3,2,2,hear others manage
100,3,2,2,others manage boundary
