rank,n,count,post_count,phrase
1,2,21,19,i'm looking
2,2,18,18,i'd love
3,2,18,18,love hear
4,2,15,15,thanks advance
5,2,14,14,everyone i've
6,2,11,11,everyone i'm
7,2,11,11,working home
8,2,9,6,anyone else
9,2,9,4,time blocking
10,2,7,7,looking something
11,2,7,5,digital detox
12,2,7,7,hey everyone
13,2,7,7,i've working
14,2,6,5,working remotely
15,2,6,6,home office
16,2,6,6,i'm finding
17,2,6,5,remote work
18,2,6,6,work life
19,2,6,6,deep work
20,2,5,5,i'm planning
21,2,5,5,love know
22,2,5,5,best practices
23,2,5,5,anyone specific
24,2,5,5,looking forward
25,2,5,5,six months
26,2,5,5,end day
27,2,5,5,feel i'm
28,2,5,5,i'm worried
29,2,5,5,i've tried
30,2,5,5,you'd recommend
31,2,5,5,i've heard
32,2,4,4,finding harder
33,2,4,4,checking emails
34,2,4,4,video calls
35,2,4,4,find myself
36,2,4,4,i'm trying
37,2,4,4,deep focus
38,2,4,4,i'm curious
39,2,4,4,what's best
40,2,4,4,life balance
41,2,4,4,hear others
42,2,4,3,glass desk
43,2,4,4,i'm struggling
44,2,4,4,looking recommendations
45,2,3,3,thanks help
46,2,3,3,month i've
47,2,3,3,hear what's
48,2,3,3,advance suggestions
49,2,3,3,disconnect end
50,2,3,3,living room
51,2,3,3,switch off
52,2,3,3,social media
53,2,3,2,fully remote
54,2,3,3,remotely past
55,2,3,3,anyone found
56,2,3,3,specific ritual
57,2,3,3,helps switch
58,2,3,3,between work
59,2,3,3,i've noticed
60,2,3,3,work home
61,2,3,3,rituals help
62,2,3,3,i've thinking
63,2,3,3,anyone successfully
64,2,3,3,i'm sure
65,2,3,3,past few
66,2,3,3,few months
67,2,3,3,boundary between
68,2,3,2,digital minimalism
69,2,3,3,work hours
70,2,3,3,another room
71,2,3,3,past six
72,2,3,3,advice appreciated
73,2,3,2,hybrid work
74,2,3,3,hidden gems
75,2,3,2,cable management
76,2,3,3,specific rituals
77,2,3,3,whether it's
78,2,3,3,rainy days
79,2,3,3,best budget
80,2,3,2,mechanical keyboards
81,2,3,3,appreciated cheers
82,2,3,3,i've read
83,2,3,3,advance advice
84,2,3,3,watering schedules
85,2,3,3,i've reading
86,2,3,2,board games
87,2,2,2,battery life
88,2,2,2,else noticed
89,2,2,2,noticed update
90,2,2,2,everyone else
91,2,2,2,know there's
92,2,2,1,first month
93,2,2,2,what's worked
94,2,2,2,anyone experience
95,2,2,2,months finding
96,2,2,2,harder expected
97,2,2,2,day home
98,2,2,2,hear manage
99,2,2,2,hours specific
100,2,2,2,workspace setup
