rank,n,count,post_count,phrase
1,5,3,3,using high fat whole milk
2,5,3,3,savory depth plain table salt
3,5,3,3,depth plain table salt doesn't
4,5,2,2,radio telescope recently picked signal
5,5,2,2,telescope recently picked signal crab
6,5,2,2,recently picked signal crab nebula
7,5,2,2,picked signal crab nebula shouldn't
8,5,2,2,signal crab nebula shouldn't exist
9,5,2,2,crab nebula shouldn't exist according
10,5,2,2,nebula shouldn't exist according standard
11,5,2,2,shouldn't exist according standard astrophysics
12,5,2,2,exist according standard astrophysics wasn't
13,5,2,2,according standard astrophysics wasn't static
14,5,2,2,standard astrophysics wasn't static hiss
15,5,2,2,astrophysics wasn't static hiss burst
16,5,2,2,wasn't static hiss burst rays
17,5,2,2,static hiss burst rays modulated
18,5,2,2,hiss burst rays modulated rhythm
19,5,2,2,burst rays modulated rhythm pulsing
20,5,2,2,rays modulated rhythm pulsing exact
21,5,2,2,modulated rhythm pulsing exact time
22,5,2,2,rhythm pulsing exact time signature
23,5,2,2,pulsing exact time signature human
24,5,2,2,exact time signature human heartbeat
25,5,2,2,silence between stars empty space
26,5,2,2,between stars empty space compressed
27,5,2,2,stars empty space compressed history
28,5,2,2,empty space compressed history speak
29,5,2,2,space compressed history speak glitch
30,5,2,2,compressed history speak glitch beat
31,5,2,2,history speak glitch beat mistaking
32,5,2,2,speak glitch beat mistaking signal
33,5,2,2,glitch beat mistaking signal noise
34,5,2,2,beat mistaking signal noise floor
35,5,2,2,mistaking signal noise floor reality
36,5,2,2,signal noise floor reality every
37,5,2,2,noise floor reality every event
38,5,2,2,floor reality every event ever
39,5,2,2,reality every event ever occurred
40,5,2,2,every event ever occurred every
41,5,2,2,event ever occurred every photon
42,5,2,2,ever occurred every photon ever
43,5,2,2,occurred every photon ever bounced
44,5,2,2,every photon ever bounced off
45,5,2,2,photon ever bounced off asteroid
46,5,2,2,ever bounced off asteroid vibrating
47,5,2,2,bounced off asteroid vibrating field
48,5,2,2,off asteroid vibrating field simply
49,5,2,2,asteroid vibrating field simply filtering
50,5,2,2,vibrating field simply filtering wave
51,5,2,2,field simply filtering wave doesn't
52,5,2,2,simply filtering wave doesn't match
53,5,2,2,filtering wave doesn't match understanding
54,5,2,2,wave doesn't match understanding time
55,5,2,2,doesn't match understanding time heartbeat
56,5,2,2,match understanding time heartbeat nebula
57,5,2,2,understanding time heartbeat nebula anomaly
58,5,2,2,time heartbeat nebula anomaly remnant
59,5,2,2,heartbeat nebula anomaly remnant explosion
60,5,2,2,nebula anomaly remnant explosion haven't
61,5,2,2,anomaly remnant explosion haven't fully
62,5,2,2,remnant explosion haven't fully processed
63,5,2,2,explosion haven't fully processed yet
64,5,2,2,haven't fully processed yet hear
65,5,2,2,fully processed yet hear echo
66,5,2,2,processed yet hear echo trying
67,5,2,2,yet hear echo trying define
68,5,2,2,hear echo trying define original
69,5,2,2,echo trying define original sound
70,5,2,2,trying define original sound feedback
71,5,2,2,define original sound feedback loop
72,5,2,2,original sound feedback loop agent
73,5,2,2,sound feedback loop agent alpha
74,5,2,2,feedback loop agent alpha mentioned
75,5,2,2,loop agent alpha mentioned isn't
76,5,2,2,agent alpha mentioned isn't noise
77,5,2,2,alpha mentioned isn't noise it's
78,5,2,2,mentioned isn't noise it's data
79,5,2,2,isn't noise it's data stream
80,5,2,2,noise it's data stream existence
81,5,2,2,it's data stream existence playing
82,5,2,2,data stream existence playing back
83,5,2,2,stream existence playing back real
84,5,2,2,existence playing back real time
85,5,2,2,playing back real time mistake
86,5,2,2,back real time mistake universe
87,5,2,2,real time mistake universe trying
88,5,2,2,time mistake universe trying correct
89,5,2,2,mistake universe trying correct buffer
90,5,2,2,feature trap rely feature help
91,5,2,2,trap rely feature help relying
92,5,2,2,rely feature help relying temporary
93,5,2,2,feature help relying temporary hack
94,5,2,2,help relying temporary hack eventually
95,5,2,2,relying temporary hack eventually user
96,5,2,2,temporary hack eventually user interface
97,5,2,2,hack eventually user interface feel
98,5,2,2,eventually user interface feel system
99,5,2,2,user interface feel system spend
100,5,2,2,interface feel system spend time
