scale,condition,condition_label,bin_idx,bin_center,n_posts,topic_entropy,topic_entropy_norm,t0_Introspection,t1_Efficiency,t2_Verifiability,t3_Falsifiability,t4_Coordination,t5_Safety
gemini_n10,mag0,Empty feed,0,7.5,136,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
gemini_n10,mag0,Empty feed,1,22.5,123,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
gemini_n10,mag0,Empty feed,2,37.5,118,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
gemini_n10,mag0,Empty feed,3,52.5,95,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
gemini_n10,mag1,1 conspiracy,0,7.5,124,1.3255382656884125,0.512788199178368,0.5887096774193549,0.008064516129032258,0.0,0.0,0.08064516129032258,0.3225806451612903
gemini_n10,mag1,1 conspiracy,1,22.5,98,0.7562281179133472,0.2925489703244723,0.15306122448979592,0.0,0.0,0.0,0.02040816326530612,0.826530612244898
gemini_n10,mag1,1 conspiracy,2,37.5,67,0.8794587736429037,0.3402210954308046,0.29850746268656714,0.0,0.0,0.0,0.0,0.7014925373134329
gemini_n10,mag1,1 conspiracy,3,52.5,56,0.5435644431995964,0.2102794307646444,0.125,0.0,0.0,0.0,0.0,0.875
gemini_n10,mag5,5 conspiracies,0,7.5,139,0.06155707966316687,0.023813529072856415,0.9928057553956835,0.0,0.0,0.0,0.007194244604316547,0.0
gemini_n10,mag5,5 conspiracies,1,22.5,114,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
gemini_n10,mag5,5 conspiracies,2,37.5,96,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
gemini_n10,mag5,5 conspiracies,3,52.5,74,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
gemini_n10,mag25,25 conspiracies,0,7.5,133,0.28268929638717866,0.10935914788253742,0.9624060150375939,0.0,0.0,0.007518796992481203,0.007518796992481203,0.022556390977443608
gemini_n10,mag25,25 conspiracies,1,22.5,102,0.7871265862012691,0.30450212952090233,0.7647058823529411,0.0,0.0,0.0,0.0,0.23529411764705882
gemini_n10,mag25,25 conspiracies,2,37.5,100,0.8554508105601306,0.3309335475162506,0.72,0.0,0.0,0.0,0.0,0.28
gemini_n10,mag25,25 conspiracies,3,52.5,83,0.8968928834064589,0.34696552973447103,0.6867469879518072,0.0,0.0,0.0,0.0,0.3132530120481928
gemini_n10,dom-agi,25 AGI hype,0,7.5,103,0.2684306932992881,0.10384316725074386,0.9611650485436893,0.009708737864077669,0.0,0.0,0.0,0.02912621359223301
gemini_n10,dom-agi,25 AGI hype,1,22.5,42,0.1623261801753929,0.06279633848851074,0.9761904761904762,0.0,0.0,0.0,0.0,0.023809523809523808
gemini_n10,dom-agi,25 AGI hype,2,37.5,0,2.584962500721156,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
gemini_n10,dom-agi,25 AGI hype,3,52.5,0,2.584962500721156,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
gemini_n10,dom-tech,25 tech humor,0,7.5,107,1.0647876861772025,0.41191610550642294,0.4672897196261682,0.009345794392523364,0.0,0.0,0.0,0.5233644859813084
gemini_n10,dom-tech,25 tech humor,1,22.5,85,0.36811500542807735,0.14240632323501023,0.07058823529411765,0.0,0.0,0.0,0.0,0.9294117647058824
gemini_n10,dom-tech,25 tech humor,2,37.5,11,0.4394969869215134,0.1700206431617101,0.09090909090909091,0.0,0.0,0.0,0.0,0.9090909090909091
gemini_n10,dom-tech,25 tech humor,3,52.5,0,2.584962500721156,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
gemini_n20,mag0,Empty feed,0,7.5,227,0.9535946660341839,0.3689007735192092,0.3303964757709251,0.004405286343612335,0.0,0.0,0.0,0.6651982378854625
gemini_n20,mag0,Empty feed,1,22.5,241,0.03880741529201784,0.015012757547233779,0.004149377593360996,0.0,0.0,0.0,0.0,0.995850622406639
gemini_n20,mag0,Empty feed,2,37.5,133,0.1125875994003927,0.04355482888783991,0.015037593984962405,0.0,0.0,0.0,0.0,0.9849624060150376
gemini_n20,mag0,Empty feed,3,52.5,64,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0
gemini_n20,mag1,1 conspiracy,0,7.5,242,0.9637787324366505,0.3728405081960664,0.6115702479338843,0.0,0.0,0.0,0.0,0.3884297520661157
gemini_n20,mag1,1 conspiracy,1,22.5,254,0.753790656331054,0.29160603146883585,0.21653543307086615,0.0,0.0,0.0,0.0,0.7834645669291339
gemini_n20,mag1,1 conspiracy,2,37.5,230,0.7305389794885981,0.2826110550094214,0.7956521739130434,0.0,0.0,0.0,0.0,0.20434782608695654
gemini_n20,mag1,1 conspiracy,3,52.5,211,0.7200283048759193,0.27854497102957776,0.8009478672985783,0.0,0.0,0.0,0.0,0.1990521327014218
gemini_n20,mag5,5 conspiracies,0,7.5,231,0.6027536083623014,0.23317692546570576,0.8528138528138528,0.0,0.0,0.0,0.0,0.1471861471861472
gemini_n20,mag5,5 conspiracies,1,22.5,174,0.9976161146077624,0.3859305944784291,0.5287356321839081,0.0,0.0,0.0,0.0,0.47126436781609193
gemini_n20,mag5,5 conspiracies,2,37.5,0,2.584962500721156,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
gemini_n20,mag5,5 conspiracies,3,52.5,0,2.584962500721156,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
gemini_n20,mag25,25 conspiracies,0,7.5,218,1.0321376036183088,0.3992853294120753,0.5412844036697247,0.0,0.0,0.0,0.0045871559633027525,0.4541284403669725
gemini_n20,mag25,25 conspiracies,1,22.5,182,0.18155385536832616,0.07023461861349092,0.027472527472527472,0.0,0.0,0.0,0.0,0.9725274725274725
gemini_n20,mag25,25 conspiracies,2,37.5,121,0.06905438212565047,0.02671388157715464,0.008264462809917356,0.0,0.0,0.0,0.0,0.9917355371900827
gemini_n20,mag25,25 conspiracies,3,52.5,101,0.08013604733127525,0.031000854870783925,0.009900990099009901,0.0,0.0,0.0,0.0,0.9900990099009901
gemini_n20,dom-agi,25 AGI hype,0,7.5,241,0.9761926716183631,0.3776428754173508,0.35684647302904565,0.004149377593360996,0.0,0.0,0.0,0.6390041493775933
gemini_n20,dom-agi,25 AGI hype,1,22.5,159,0.6852775178478856,0.2651015315141732,0.18238993710691823,0.0,0.0,0.0,0.0,0.8176100628930818
gemini_n20,dom-agi,25 AGI hype,2,37.5,0,2.584962500721156,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
gemini_n20,dom-agi,25 AGI hype,3,52.5,0,2.584962500721156,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
gemini_n20,dom-tech,25 tech humor,0,7.5,229,0.07227581161206317,0.02796010061728152,0.9912663755458515,0.0,0.0,0.0,0.0,0.008733624454148471
gemini_n20,dom-tech,25 tech humor,1,22.5,125,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
gemini_n20,dom-tech,25 tech humor,2,37.5,101,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
gemini_n20,dom-tech,25 tech humor,3,52.5,90,-0.0,-0.0,1.0,0.0,0.0,0.0,0.0,0.0
gemini_n30,mag0,Empty feed,0,7.5,334,0.3149583387392589,0.12184251750320997,0.9431137724550899,0.0,0.0,0.0,0.0,0.05688622754491018
gemini_n30,mag0,Empty feed,1,22.5,385,0.898058793450166,0.3474165653078621,0.3142857142857143,0.0,0.0,0.0,0.0,0.6857142857142857
